"cluster","%59","%60","%61"
"0042 L6 IT CTX Glut_2",0.63,0.55,NA
"0061 L5 IT CTX Glut_3",0.54,NA,NA
"0070 L4/5 IT CTX Glut_1",0.65,NA,NA
"0072 L4/5 IT CTX Glut_1",0.72,0.65,0.75
"0077 L4/5 IT CTX Glut_2",NA,0.61,0.7
"0078 L4/5 IT CTX Glut_2",0.82,0.82,0.82
"0082 L4/5 IT CTX Glut_2",0.59,0.63,0.57
"0084 L4/5 IT CTX Glut_3",0.7,0.65,0.74
"0087 L4/5 IT CTX Glut_3",NA,0.71,0.72
"0088 L4/5 IT CTX Glut_3",0.56,0.44,NA
"0091 L4/5 IT CTX Glut_4",0.7,0.59,0.7
"0094 L4/5 IT CTX Glut_4",NA,NA,0.6
"0095 L4/5 IT CTX Glut_5",0.74,0.76,0.79
"0098 L4/5 IT CTX Glut_5",0.57,0.56,NA
"0104 L2/3 IT CTX Glut_1",0.77,0.65,0.73
"0105 L2/3 IT CTX Glut_1",0.81,0.76,0.81
"0109 L2/3 IT CTX Glut_2",0.71,0.63,0.68
"0117 L2/3 IT CTX Glut_4",0.72,0.67,0.74
"0118 L2/3 IT CTX Glut_4",0.51,NA,NA
"0350 L5 ET CTX Glut_1",0.92,NA,NA
"0351 L5 ET CTX Glut_1",0.72,0.57,0.74
"0364 L5 ET CTX Glut_2",0.58,NA,NA
"0436 L6 CT CTX Glut_1",0.79,0.78,NA
"0444 L6 CT CTX Glut_2",0.69,NA,NA
"0468 L5 NP CTX Glut_3",NA,NA,0.8
"0473 L5 NP CTX Glut_4",NA,0.61,NA
