"Cluster","X59","X60","X61","pval","perc","lam","conf","rm"
"0042 L6 IT CTX Glut_2",0.005,0.01,NA,0.00055,0.98,318,0.7,20
"0061 L5 IT CTX Glut_3",0.03,NA,NA,0.03,3.96,268,0.68,23
"0070 L4/5 IT CTX Glut_1",0.005,NA,NA,0.005,2.2,302,0.7,34
"0072 L4/5 IT CTX Glut_1",0.005,0.005,0.005,1.8e-05,0.66,447,0.72,21
"0077 L4/5 IT CTX Glut_2",NA,0.005,0.005,0.00029,1.39,427,0.7,23
"0078 L4/5 IT CTX Glut_2",0.005,0.005,0.015,4.7e-05,1.42,279,0.73,24
"0082 L4/5 IT CTX Glut_2",0.005,0.015,0.005,4.7e-05,0,423,0.71,29
"0084 L4/5 IT CTX Glut_3",0.005,0.005,0.005,1.8e-05,0.8,335,0.71,29
"0087 L4/5 IT CTX Glut_3",NA,0.005,0.005,0.00029,1.32,317,0.72,24
"0088 L4/5 IT CTX Glut_3",0.28,NA,NA,0.28,5.48,182,0.71,34
"0091 L4/5 IT CTX Glut_4",0.005,0.005,0.005,1.8e-05,1.31,534,0.71,22
"0094 L4/5 IT CTX Glut_4",NA,NA,0.005,0.005,0,359,0.7,10
"0095 L4/5 IT CTX Glut_5",0.005,0.005,0.005,1.8e-05,0.78,426,0.72,20
"0098 L4/5 IT CTX Glut_5",0.01,0.01,NA,0.001,1.45,369,0.7,20
"0104 L2/3 IT CTX Glut_1",0.005,0.005,0.005,1.8e-05,3.83,875,0.72,6
"0105 L2/3 IT CTX Glut_1",0.005,0.005,0.005,1.8e-05,1.29,1216,0.74,10
"0117 L2/3 IT CTX Glut_4",0.005,0.005,0.005,1.8e-05,2.07,560,0.71,22
"0118 L2/3 IT CTX Glut_4",0.01,NA,NA,0.01,0,338,0.69,17
"0350 L5 ET CTX Glut_1",0.015,NA,NA,0.015,0,367,0.77,19
"0351 L5 ET CTX Glut_1",0.005,0.005,0.005,1.8e-05,0.34,282,0.72,26
"0364 L5 ET CTX Glut_2",0.045,NA,NA,0.045,8.93,205,0.7,37
"0436 L6 CT CTX Glut_1",0.005,0.005,NA,0.00029,1.38,737,0.74,9
"0444 L6 CT CTX Glut_2",0.005,NA,NA,0.005,0,329,0.71,26
"0468 L5 NP CTX Glut_3",NA,NA,0.015,0.015,0,132,0.75,36
"0473 L5 NP CTX Glut_4",NA,0.33,NA,0.33,4.44,73,0.7,51
